 02-12-2023 20:12:24:448 [pid=92393 tid=92393] NOTICE  cufio-drv:705 running in compatible mode
 02-12-2023 20:12:24:448 [pid=92393 tid=92393] ERROR  cufio-plat:101 cannot open path /sys/bus/pci/devices/0000:09:00.0/resource No such file or directory
 02-12-2023 20:12:24:564 [pid=92393 tid=92393] ERROR  cufio-topo-udev:431 no device entries present in platform topology
 02-12-2023 20:24:58:657 [pid=101861 tid=101861] NOTICE  cufio-drv:705 running in compatible mode
 02-12-2023 20:24:58:658 [pid=101861 tid=101861] ERROR  cufio-plat:101 cannot open path /sys/bus/pci/devices/0000:09:00.0/resource No such file or directory
 02-12-2023 20:24:58:765 [pid=101861 tid=101861] ERROR  cufio-topo-udev:431 no device entries present in platform topology
 02-12-2023 21:30:36:26 [pid=109051 tid=109051] NOTICE  cufio-drv:705 running in compatible mode
 02-12-2023 21:30:36:26 [pid=109051 tid=109051] ERROR  cufio-plat:101 cannot open path /sys/bus/pci/devices/0000:09:00.0/resource No such file or directory
 02-12-2023 21:30:36:132 [pid=109051 tid=109051] ERROR  cufio-topo-udev:431 no device entries present in platform topology
 02-12-2023 22:12:55:601 [pid=122377 tid=122377] NOTICE  cufio-drv:705 running in compatible mode
 02-12-2023 22:12:55:601 [pid=122377 tid=122377] ERROR  cufio-plat:101 cannot open path /sys/bus/pci/devices/0000:09:00.0/resource No such file or directory
 02-12-2023 22:12:55:725 [pid=122377 tid=122377] ERROR  cufio-topo-udev:431 no device entries present in platform topology
