POSICIÓN,AREA,Á.LIQ.,GRUPO DE PERSONAL,CODIGO POSTAL,MOTIVO DE LA RENUNCIA,BANDA,BAJA,REGLAPHT,ALTA,AÑOS,MESES,ANTIGÜEDAD,CLAVE DE SEXO,LUGAR DE NACIMIENTO,NACIONALIDAD,EDAD,¿CUANTO TIEMPO TIENE VIVIENDO EN CD. JUAREZ?,ESTADO CIVIL,HIJOS,Distancia,TIEMPO VIVIENDO EN CD JUAREZ - CATEGORIA,TIENE HIJOS
POS514,LOG,S6,Exempt,32520,Vol Otro empleo,E3,2023-01-02,ADMINIST,2018-06-21,5,55.2,1656,Femenino,CHIHUAHUA,Mexican,31,,Solter,0,10.815468874175657,Menos de 1 Año,No
POS1745,MFS,S5,Direct,32217,Vol Otro empleo,DNO,2023-01-03,ADMINIST,2017-07-20,6,66.43333333333334,1993,Masculino,DURANGO,Mexican,25,10+ Years,Solter,0,18.258464034263955,10+ Años,No
POS1230,VS7,S5,Direct,32600,Vol Otro empleo,DNO,2023-01-03,JT012324,2019-08-29,4,40.76666666666665,1223,Masculino,CHIHUAHUA,Mexican,23,10+ Years,Solter,0,18.460211302745325,10+ Años,No
POS1661,MFS,S5,Direct,32575,Vol Estudios,DO,2023-01-03,JT012324,2022-11-03,1,2.033333333333333,61,Femenino,CHIHUAHUA,Mexican,18,10+ Years,Solter,0,6.025403146377438,10+ Años,No
POS1921,MFS,S5,Direct,32575,Vol Cambio de domicilio,DO,2023-01-03,JT012324,2017-03-02,6,71.1,2133,Masculino,CHIHUAHUA,Mexican,26,10+ Years,Solter,0,6.025403146377438,10+ Años,No
POS2803,VS1,S5,Direct,32600,Vol Otro empleo,DNO,2023-01-03,JF050600,2018-09-06,5,52.66666666666665,1580,Masculino,JALISCO,Mexican,38,10+ Years,Casad,3,18.460211302745325,10+ Años,Sí
POS538,VS9-ABS,S5,Direct,32575,Vol Estudios,DO,2023-01-03,JF060600,2020-01-09,3,36.333333333333336,1090,Femenino,CHIHUAHUA,Mexican,21,,Solter,0,6.025403146377438,Menos de 1 Año,No
POS1380,MFS,S5,Direct,32575,Vol Otro empleo,DO,2023-01-03,JF060600,2020-12-17,3,24.9,747,Femenino,CHIHUAHUA,Mexican,27,10+ Years,Solter,1,6.025403146377438,10+ Años,Sí
POS2094,TEF,S5,Direct,32674,Vol Otro empleo,DNO,2023-01-03,ADMINIST,2020-03-05,3,34.466666666666654,1034,Masculino,CHIHUAHUA,Mexican,25,10+ Years,Solter,0,12.782753425564334,10+ Años,No
POS1921,MFS,S5,Direct,32575,Vol Prob personales y fam.,DO,2023-01-03,JS011500,2020-01-16,3,36.1,1083,Femenino,CHIHUAHUA,Mexican,32,10+ Years,Solter,0,6.025403146377438,10+ Años,No
POS1661,MFS,S5,Direct,32575,Vol Estudios,DO,2023-01-03,JS011500,2022-10-11,1,2.8,84,Femenino,CHIHUAHUA,Mexican,18,10+ Years,Solter,0,6.025403146377438,10+ Años,No
POS2003,VS4,S5,Direct,32575,Vol Prob personales y fam.,DO,2023-01-03,JS011500,2016-03-02,7,83.26666666666668,2498,Femenino,CHIHUAHUA,Mexican,41,10+ Years,U-Libr,2,6.025403146377438,10+ Años,Sí
POS347,LOG,S5,Direct,32575,Vol No regreso   no dio razón,DNO,2023-01-03,JF010600,2022-12-08,1,0.8666666666666667,26,Masculino,DURANGO,Mexican,40,10+ Years,U-Libr,2,6.025403146377438,10+ Años,Sí
POS1230,VS1,S5,Direct,32690,Vol Otro empleo,DNO,2023-01-03,JF010600,2018-08-30,5,52.9,1587,Masculino,CHIHUAHUA,Mexican,25,10+ Years,Solter,0,5.169751139513358,10+ Años,No
POS1376,VS9-ABS,S5,Direct,32576,Vol Insatisfacción personal,DNO,2023-01-03,JF010600,2019-01-24,4,48.0,1440,Femenino,CHIHUAHUA,Mexican,27,,Solter,0,6.376805488828198,Menos de 1 Año,No
POS1323,VS7,S5,Direct,32575,Vol No regreso   no dio razón,DO,2023-01-04,JF010600,2022-08-11,1,4.866666666666666,146,Femenino,CHIHUAHUA,Mexican,33,,Solter,2,6.025403146377438,Menos de 1 Año,Sí
POS1323,VS5,S5,Direct,32575,Vol No regreso   no dio razón,DO,2023-01-04,JT012324,2019-09-05,4,40.566666666666656,1217,Femenino,CHIHUAHUA,Mexican,23,10+ Years,Solter,1,6.025403146377438,10+ Años,Sí
POS1323,VS7,S5,Direct,32540,Vol No regreso   no dio razón,DO,2023-01-04,JT012324,2020-10-08,3,27.266666666666666,818,Femenino,CHIHUAHUA,Mexican,20,10+ Years,Solter,1,2.6942229076486908,10+ Años,Sí
POS2939,VS1-HOUS,S5,Direct,32584,Vol No regreso   no dio razón,DO,2023-01-04,JT012324,2022-10-20,1,2.533333333333333,76,Masculino,CHIHUAHUA,Mexican,31,10+ Years,U-Libr,0,4.874712011839221,10+ Años,No
POS2939,VS9-ABS,S5,Direct,32575,Vol No regreso   no dio razón,DO,2023-01-04,JT012324,2022-11-17,1,1.6,48,Femenino,CHIHUAHUA,Mexican,18,10+ Years,Solter,0,6.025403146377438,10+ Años,No
POS1323,VS9-ABS,S5,Direct,32575,Vol No regreso   no dio razón,DO,2023-01-04,JS011500,2022-09-08,1,3.933333333333333,118,Masculino,CHIAPAS,Mexican,21,10+ Years,Solter,0,6.025403146377438,10+ Años,No
POS1323,VS1,S5,Direct,32599,Vol Transferencia entre planta,DO,2023-01-05,JF010600,2018-09-06,5,52.73333333333334,1582,Femenino,GUERRERO,Mexican,23,,Solter,0,13.59346846802786,Menos de 1 Año,No
POS347,LOG,S5,Direct,32575,Vol Transferencia entre planta,DNO,2023-01-06,JT012324,2022-12-15,1,0.7333333333333334,22,Masculino,OAXACA,Mexican,24,3-4 Years,Solter,0,6.025403146377438,4-6 Años,No
POS581,LOG,S6,Exempt,32433,Vol Otro empleo,E3,2023-01-06,JF010600,2021-05-27,2,19.633333333333326,589,Masculino,CHIHUAHUA,Mexican,30,,Solter,0,,Menos de 1 Año,No
POS2803,VS5,S5,Direct,32600,Imp.Tra LFT y Reglamento int,DNO,2023-01-07,JF050600,2017-07-13,6,66.8,2004,Masculino,COAHUILA,Mexican,45,,Casad,2,18.460211302745325,Menos de 1 Año,Sí
POS1657,TEF,S6,Exempt,32540,Vol Transferencia entre planta,E4,2023-01-08,ADMINIST,2010-09-20,13,149.76666666666665,4493,Masculino,,Mexican,36,,Solter,0,2.6942229076486908,Menos de 1 Año,No
POS2939,VS9-ABS,S5,Direct,32575,Vol No regreso   no dio razón,DO,2023-01-09,JS011500,2022-12-08,1,1.0666666666666667,32,Masculino,CHIHUAHUA,Mexican,18,10+ Years,Solter,0,6.025403146377438,10+ Años,No
POS538,VS4,S5,Direct,32599,Vol No regreso   no dio razón,DO,2023-01-09,JT031800,2022-10-06,1,3.1666666666666665,95,Masculino,VERACRUZ,Mexican,30,,Solter,0,13.59346846802786,Menos de 1 Año,No
POS1380,MFS,S5,Direct,32599,Vol Otro empleo,DO,2023-01-10,JT031800,2019-03-28,4,46.13333333333333,1384,Femenino,CHIHUAHUA,Mexican,22,5-6 Years,Solter,0,13.59346846802786,4-6 Años,No
POS1230,VS7,S5,Direct,32575,Vol Otro empleo,DNO,2023-01-10,JF010600,2019-09-12,4,40.53333333333333,1216,Masculino,CHIHUAHUA,Mexican,24,,Solter,0,6.025403146377438,Menos de 1 Año,No
