POSICIÓN,AREA,Á.LIQ.,GRUPO DE PERSONAL,CODIGO POSTAL,MOTIVO DE LA RENUNCIA,BANDA,BAJA,REGLAPHT,ALTA,AÑOS,MESES,ANTIGÜEDAD,SEXO,LUGAR DE NACIMIENTO,NACIONALIDAD,EDAD,¿CUANTO TIEMPO TIENE VIVIENDO EN CD. JUAREZ?,ESTADO CIVIL,HIJOS,Distancia,TIEMPO VIVIENDO EN CD JUAREZ - CATEGORIA,TIENE HIJOS,TIPO DE RENUNCIA,Latitud,Longitud
POS514,LOG,S6,Exempt,32520,OTRO EMPLEO,E3,2023-01-02,ADMINIST,2018-06-21,5,55.2,1656,F,CHIHUAHUA,Mexican,31,,Soltero,0,10815.468874175656,Menos de 1 Año,No,VOLUNTARIA,31.619625,-106.454475
POS1745,MFS,S5,Direct,32217,OTRO EMPLEO,DNO,2023-01-03,ADMINIST,2017-07-20,6,66.43333333333334,1993,M,DURANGO,Mexican,25,10+ Years,Soltero,0,18258.464034263958,10+ Años,No,VOLUNTARIA,31.6306,-106.5414667
POS1230,VS7,S5,Direct,32600,OTRO EMPLEO,DNO,2023-01-03,JT012324,2019-08-29,4,40.76666666666665,1223,M,CHIHUAHUA,Mexican,23,10+ Years,Soltero,0,18460.21130274533,10+ Años,No,VOLUNTARIA,31.5523,-106.49715
POS1661,MFS,S5,Direct,32575,ESTUDIOS,DO,2023-01-03,JT012324,2022-11-03,1,2.033333333333333,61,F,CHIHUAHUA,Mexican,18,10+ Years,Soltero,0,6025.403146377439,10+ Años,No,VOLUNTARIA,31.61535,-106.3810634
POS1921,MFS,S5,Direct,32575,CAMBIO DE DOMICILIO,DO,2023-01-03,JT012324,2017-03-02,6,71.1,2133,M,CHIHUAHUA,Mexican,26,10+ Years,Soltero,0,6025.403146377439,10+ Años,No,VOLUNTARIA,31.61535,-106.3810634
POS2803,VS1,S5,Direct,32600,OTRO EMPLEO,DNO,2023-01-03,JF050600,2018-09-06,5,52.66666666666665,1580,M,JALISCO,Mexican,38,10+ Years,Casad,3,18460.21130274533,10+ Años,Sí,VOLUNTARIA,31.5523,-106.49715
POS538,VS9-ABS,S5,Direct,32575,ESTUDIOS,DO,2023-01-03,JF060600,2020-01-09,3,36.333333333333336,1090,F,CHIHUAHUA,Mexican,21,,Soltero,0,6025.403146377439,Menos de 1 Año,No,VOLUNTARIA,31.61535,-106.3810634
POS1380,MFS,S5,Direct,32575,OTRO EMPLEO,DO,2023-01-03,JF060600,2020-12-17,3,24.9,747,F,CHIHUAHUA,Mexican,27,10+ Years,Soltero,1,6025.403146377439,10+ Años,Sí,VOLUNTARIA,31.61535,-106.3810634
POS2094,TEF,S5,Direct,32674,OTRO EMPLEO,DNO,2023-01-03,ADMINIST,2020-03-05,3,34.466666666666654,1034,M,CHIHUAHUA,Mexican,25,10+ Years,Soltero,0,12782.753425564333,10+ Años,No,VOLUNTARIA,31.60151,-106.466155
POS1921,MFS,S5,Direct,32575,PROB PERSONALES Y FAM ,DO,2023-01-03,JS011500,2020-01-16,3,36.1,1083,F,CHIHUAHUA,Mexican,32,10+ Years,Soltero,0,6025.403146377439,10+ Años,No,VOLUNTARIA,31.61535,-106.3810634
POS1661,MFS,S5,Direct,32575,ESTUDIOS,DO,2023-01-03,JS011500,2022-10-11,1,2.8,84,F,CHIHUAHUA,Mexican,18,10+ Years,Soltero,0,6025.403146377439,10+ Años,No,VOLUNTARIA,31.61535,-106.3810634
POS2003,VS4,S5,Direct,32575,PROB PERSONALES Y FAM ,DO,2023-01-03,JS011500,2016-03-02,7,83.26666666666668,2498,F,CHIHUAHUA,Mexican,41,10+ Years,U-Libr,2,6025.403146377439,10+ Años,Sí,VOLUNTARIA,31.61535,-106.3810634
POS347,LOG,S5,Direct,32575,NO REGRESO   NO DIO RAZÓN,DNO,2023-01-03,JF010600,2022-12-08,1,0.8666666666666667,26,M,DURANGO,Mexican,40,10+ Years,U-Libr,2,6025.403146377439,10+ Años,Sí,VOLUNTARIA,31.61535,-106.3810634
POS1230,VS1,S5,Direct,32690,OTRO EMPLEO,DNO,2023-01-03,JF010600,2018-08-30,5,52.9,1587,M,CHIHUAHUA,Mexican,25,10+ Years,Soltero,0,5169.751139513358,10+ Años,No,VOLUNTARIA,31.6622,-106.4074667
POS1376,VS9-ABS,S5,Direct,32576,INSATISFACCIÓN PERSONAL,DNO,2023-01-03,JF010600,2019-01-24,4,48.0,1440,F,CHIHUAHUA,Mexican,27,,Soltero,0,6376.805488828199,Menos de 1 Año,No,VOLUNTARIA,31.61711429,-106.3917643
POS1323,VS7,S5,Direct,32575,NO REGRESO   NO DIO RAZÓN,DO,2023-01-04,JF010600,2022-08-11,1,4.866666666666666,146,F,CHIHUAHUA,Mexican,33,,Soltero,2,6025.403146377439,Menos de 1 Año,Sí,VOLUNTARIA,31.61535,-106.3810634
POS1323,VS5,S5,Direct,32575,NO REGRESO   NO DIO RAZÓN,DO,2023-01-04,JT012324,2019-09-05,4,40.566666666666656,1217,F,CHIHUAHUA,Mexican,23,10+ Years,Soltero,1,6025.403146377439,10+ Años,Sí,VOLUNTARIA,31.61535,-106.3810634
POS1323,VS7,S5,Direct,32540,NO REGRESO   NO DIO RAZÓN,DO,2023-01-04,JT012324,2020-10-08,3,27.266666666666666,818,F,CHIHUAHUA,Mexican,20,10+ Years,Soltero,1,2694.2229076486906,10+ Años,Sí,VOLUNTARIA,31.6829,-106.371
POS2939,VS1-HOUS,S5,Direct,32584,NO REGRESO   NO DIO RAZÓN,DO,2023-01-04,JT012324,2022-10-20,1,2.533333333333333,76,M,CHIHUAHUA,Mexican,31,10+ Years,U-Libr,0,4874.712011839221,10+ Años,No,VOLUNTARIA,31.6469,-106.4003
POS2939,VS9-ABS,S5,Direct,32575,NO REGRESO   NO DIO RAZÓN,DO,2023-01-04,JT012324,2022-11-17,1,1.6,48,F,CHIHUAHUA,Mexican,18,10+ Years,Soltero,0,6025.403146377439,10+ Años,No,VOLUNTARIA,31.61535,-106.3810634
POS1323,VS9-ABS,S5,Direct,32575,NO REGRESO   NO DIO RAZÓN,DO,2023-01-04,JS011500,2022-09-08,1,3.933333333333333,118,M,CHIAPAS,Mexican,21,10+ Years,Soltero,0,6025.403146377439,10+ Años,No,VOLUNTARIA,31.61535,-106.3810634
POS1323,VS1,S5,Direct,32599,TRANSFERENCIA ENTRE PLANTA,DO,2023-01-05,JF010600,2018-09-06,5,52.73333333333334,1582,F,GUERRERO,Mexican,23,,Soltero,0,13593.46846802786,Menos de 1 Año,No,VOLUNTARIA,31.55363333,-106.4151273
POS347,LOG,S5,Direct,32575,TRANSFERENCIA ENTRE PLANTA,DNO,2023-01-06,JT012324,2022-12-15,1,0.7333333333333334,22,M,OAXACA,Mexican,24,3-4 Years,Soltero,0,6025.403146377439,4-6 Años,No,VOLUNTARIA,31.61535,-106.3810634
POS581,LOG,S6,Exempt,32433,OTRO EMPLEO,E3,2023-01-06,JF010600,2021-05-27,2,19.63333333333333,589,M,CHIHUAHUA,Mexican,30,,Soltero,0,,Menos de 1 Año,No,VOLUNTARIA,,
POS2803,VS5,S5,Direct,32600,TRA LFT Y REGLAMENTO INT,DNO,2023-01-07,JF050600,2017-07-13,6,66.8,2004,M,COAHUILA,Mexican,45,,Casad,2,18460.21130274533,Menos de 1 Año,Sí,DESPIDO,31.5523,-106.49715
POS1657,TEF,S6,Exempt,32540,TRANSFERENCIA ENTRE PLANTA,E4,2023-01-08,ADMINIST,2010-09-20,13,149.76666666666665,4493,M,,Mexican,36,,Soltero,0,2694.2229076486906,Menos de 1 Año,No,VOLUNTARIA,31.6829,-106.371
POS2939,VS9-ABS,S5,Direct,32575,NO REGRESO   NO DIO RAZÓN,DO,2023-01-09,JS011500,2022-12-08,1,1.0666666666666669,32,M,CHIHUAHUA,Mexican,18,10+ Years,Soltero,0,6025.403146377439,10+ Años,No,VOLUNTARIA,31.61535,-106.3810634
